Company name,Size,Size Source,Annual Revenue,Revenue Source,Nationality,Suppliers published?,CoC published?,Audits published?,Full cost breakdown published?,Purchasing practices documents published?,Business Orientation,Score,Rank
16Seven,0,N/A,0,N/A,UK,Yes,No,No,No,No,Sustainability-oriented,1,Low
Abercrombie & Fitch,28500,"Fortune, 2016",3519000000,Fortune Profile (2016),USA,No,Yes,No,No,Yes,Neutral,2,Medium
Acne Studios,500,"LinkedIn, 2016 (approx.)",138031250,"Business Off Fashion, Acne Studio Finds Its Groove (Oct 4, 2015), approximation",Sweden,No,Yes,No,No,Yes,Neutral,2,Medium
Aiby Craft,10,"LinkedIn, 2016 (approx.), upper limit taken from 1-10 employees",0,N/A,Spain,No,No,No,No,Yes,Sustainability-oriented,1,Low
All Saints,3200,"LinkedIn, 2016 (approx.)",330000000,"Bloomberg, Apr 22, 2016; cites ""more than…""",UK,No,No,No,No,Yes,Neutral,1,Low
Alternative Apparel,180,"LinkedIn (2016), Interview with Greg Alterman for Shop-Eat-Surf(2013)",100000000,Shop-Eat-Surf (2013),USA,No,No,No,No,No,Sustainability-oriented,0,Low
American Apparel,7500,"LinkedIn, 2016 (approx.), Interview with Paula Schneider for Fast Company (2016)",609000000,"San Francisco Chronicle article (Oct 5, 2015)",USA,No,No,No,No,Yes,Trend-oriented,1,Low
ASOS,1900,"Likedin, 2016 (approx.), ASOS Report (2014) which cites 1,813",1209620000,ASOS Report (2014); converted from pounds,UK,No,Yes,No,No,Yes,Trend-oriented,2,Medium
Braintree,50,"Linkedin, 2016 (approx.), upper limit taken from 11-50 employees",0,N/A,UK,No,Yes,No,No,Yes,Sustainability-oriented,2,Medium
Brooks Brothers,1500,"LinkedIn, 2016 (approx.), Forbes profile and article 13.02.2015 (cites more than 1001).",0,N/A,USA,No,Yes,No,No,Yes,Neutral,2,Medium
Burberry,9698,"Forbes (May 2015), LinkedIn says more than 10,000",3900000000,Forbes (2016),UK,No,Yes,No,No,Yes,Neutral,2,Medium
Calvin Klein (thru PVH),34200,"Forbes (May 2016), LinkedIn quotes more than 10,000; conflicting results from other sources",8020000000,Forbes (2016),USA,No,Yes,Yes,No,Yes,Neutral,3,Medium
Chanel,10000,"LinkedIn, 2016 (approximation), LinkedIn quotes 10,000+ and similar number comes from Business Off Fashion",5200000000,Forbes (2016),France,No,No,No,No,Yes,Neutral,1,Low
Charlotte Russe,10000,"LinkedIn, 2016 (approximation), upper limit, and same approximation from sasrlink.com article, Feb 19, 2013",856000000,"Reuters article, Oct 23, 2013, by Moody's Investor Services, approximation",USA,No,No,No,No,Yes,Trend-oriented,1,Low
Dior ,122736,"Forbes (2016); though careful with this, since they have multiple groups, clothes, perfumes, etc. ",41600000000,"Forbes, 2016 profile",France,No,No,No,No,No,Neutral,0,Low
Eileen Fisher,1100,Official Eileen Fisher website,429000000,"Forbes article, May 28, 2015. ",USA,No,Yes,No,No,Yes,Sustainability-oriented,2,Medium
Everlane,100,"LinkedIn, 2016, approximation, as well as Upstart Business Journal article, Mar 7, 2015",50000000,"Business Off Fashion article (Mar 21, 2016); approximation, Everlane refuses to confirm",USA,Yes,No,No,Yes,No,Sustainability-oriented,2,Medium
Forever 21,30000,Forbes,4400000000,Forbes,USA,No,No,No,No,Yes,Trend-oriented,1,Low
French Connection,1999,"FCUK CSR Report 2016, summed up from breakdown into men and women",203608000,"FCUK Official Website and Report, 2016",UK,No,No,No,No,Yes,Trend-oriented,1,Low
